"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
1,,-68.51968800e-3,MOSI,32,0x0000000000000000000000000000000000000000000000000000000000000000,OK
2,,-68.22957600e-3,MOSI,2,0x9800,OK
3,,-68.22957600e-3,MISO,2,0xF800,OK
4,,-68.20999200e-3,MOSI,2,0x0200,OK
5,,-68.20999200e-3,MISO,2,0x01FF,OK
6,,-68.19040800e-3,MOSI,2,0x087F,OK
7,,-68.19040800e-3,MISO,2,0xFFFF,OK
8,,-68.17101600e-3,MOSI,2,0x1480,OK
9,,-68.17101600e-3,MISO,2,0x0F80,OK
10,,-68.15143200e-3,MOSI,2,0x1A07,OK
11,,-68.15143200e-3,MISO,2,0x07FF,OK
12,,-68.13204000e-3,MOSI,2,0x1226,OK
13,,-68.13204000e-3,MISO,2,0xFFFE,OK
14,,-68.11245600e-3,MOSI,2,0x020C,OK
15,,-68.11245600e-3,MISO,2,0x01FF,OK
16,,-68.09306400e-3,MOSI,2,0x1A87,OK
17,,-68.09306400e-3,MISO,2,0xFFFF,OK
18,,-68.07348000e-3,MOSI,2,0x8800,OK
19,,-68.07348000e-3,MISO,2,0xFFFF,OK
20,,-68.05389600e-3,MOSI,2,0x0200,OK
21,,-68.05389600e-3,MISO,2,0xFFFF,OK
22,,-68.03450400e-3,MOSI,2,0x9400,OK
23,,-68.03450400e-3,MISO,2,0xFFFF,OK
24,,-68.01492000e-3,MOSI,33,0x920000000000000000000000000000000000000000000000000000000000000000,OK
25,,-68.01492000e-3,MISO,33,0x8FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,OK
26,,-67.71655200e-3,MOSI,2,0x9800,OK
27,,-67.71655200e-3,MISO,2,0xF800,OK
28,,-67.69696800e-3,MOSI,2,0x0200,OK
29,,-67.69696800e-3,MISO,2,0x01FF,OK
30,,-67.67757600e-3,MOSI,2,0x087F,OK
31,,-67.67757600e-3,MISO,2,0xFFFF,OK
32,,-67.65799200e-3,MOSI,2,0x1480,OK
33,,-67.65799200e-3,MISO,2,0x0F80,OK
34,,-67.63840800e-3,MOSI,2,0x1A07,OK
35,,-67.63840800e-3,MISO,2,0x07FF,OK
36,,-67.61901600e-3,MOSI,2,0x1226,OK
37,,-67.61901600e-3,MISO,2,0xFFFE,OK
38,,-67.59943200e-3,MOSI,2,0x020C,OK
39,,-67.59943200e-3,MISO,2,0x01FF,OK
40,,-67.58004000e-3,MOSI,2,0x1A87,OK
41,,-67.58004000e-3,MISO,2,0xFFFF,OK
42,,-67.56045600e-3,MOSI,2,0x8800,OK
43,,-67.56045600e-3,MISO,2,0xFFFF,OK
44,,-67.54106400e-3,MOSI,2,0x0200,OK
45,,-67.54106400e-3,MISO,2,0xFFFF,OK
46,,-67.52148000e-3,MOSI,2,0x9400,OK
47,,-67.52148000e-3,MISO,2,0xFFFF,OK
48,,-67.50189600e-3,MOSI,33,0x920000000000000000000000000000000000000000000000000000000000000000,OK
49,,-67.50189600e-3,MISO,33,0x8FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,OK
50,,-67.20352800e-3,MOSI,2,0x9800,OK
51,,-67.20352800e-3,MISO,2,0xF800,OK
52,,-67.18394400e-3,MOSI,2,0x0200,OK
53,,-67.18394400e-3,MISO,2,0x01FF,OK
54,,-67.16455200e-3,MOSI,2,0x087F,OK
55,,-67.16455200e-3,MISO,2,0xFFFF,OK
56,,-67.14496800e-3,MOSI,2,0x1480,OK
57,,-67.14496800e-3,MISO,2,0x0F80,OK
58,,-67.12557600e-3,MOSI,2,0x1A07,OK
59,,-67.12557600e-3,MISO,2,0x07FF,OK
60,,-67.10599200e-3,MOSI,2,0x1226,OK
61,,-67.10599200e-3,MISO,2,0xFFFE,OK
62,,-67.08640800e-3,MOSI,2,0x020C,OK
63,,-67.08640800e-3,MISO,2,0x01FF,OK
64,,-67.06701600e-3,MOSI,2,0x1A87,OK
65,,-67.06701600e-3,MISO,2,0xFFFF,OK
66,,-67.04743200e-3,MOSI,2,0x8800,OK
67,,-67.04743200e-3,MISO,2,0xFFFF,OK
68,,-67.02804000e-3,MOSI,2,0x0200,OK
69,,-67.02804000e-3,MISO,2,0xFFFF,OK
70,,-67.00845600e-3,MOSI,2,0x9400,OK
71,,-67.00845600e-3,MISO,2,0xFFFF,OK
72,,-66.98906400e-3,MOSI,33,0x920000000000000000000000000000000000000000000000000000000000000000,OK
73,,-66.98906400e-3,MISO,33,0x8FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,OK
74,,-66.69050400e-3,MOSI,2,0x9800,OK
75,,-66.69050400e-3,MISO,2,0xF800,OK
76,,-66.67092000e-3,MOSI,2,0x0200,OK
77,,-66.67092000e-3,MISO,2,0x01FF,OK
78,,-66.65152800e-3,MOSI,2,0x087F,OK
79,,-66.65152800e-3,MISO,2,0xFFFF,OK
80,,-66.63194400e-3,MOSI,2,0x1480,OK
81,,-66.63194400e-3,MISO,2,0x0F80,OK
82,,-66.61255200e-3,MOSI,2,0x1A07,OK
83,,-66.61255200e-3,MISO,2,0x07FF,OK
84,,-66.59296800e-3,MOSI,2,0x1226,OK
85,,-66.59296800e-3,MISO,2,0xFFFE,OK
86,,-66.57357600e-3,MOSI,2,0x020C,OK
87,,-66.57357600e-3,MISO,2,0x01FF,OK
88,,-66.55399200e-3,MOSI,2,0x1A87,OK
89,,-66.55399200e-3,MISO,2,0xFFFF,OK
90,,-66.53440800e-3,MOSI,2,0x8800,OK
91,,-66.53440800e-3,MISO,2,0xFFFF,OK
92,,-66.51501600e-3,MOSI,2,0x0200,OK
93,,-66.51501600e-3,MISO,2,0xFFFF,OK
94,,-66.49543200e-3,MOSI,2,0x9400,OK
95,,-66.49543200e-3,MISO,2,0xFFFF,OK
96,,-66.47604000e-3,MOSI,33,0x920000000000000000000000000000000000000000000000000000000000000000,OK
97,,-66.47604000e-3,MISO,33,0x8FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,OK
98,,-66.17748000e-3,MOSI,2,0x9800,OK
99,,-66.17748000e-3,MISO,2,0xF800,OK
100,,-66.15789600e-3,MOSI,2,0x0200,OK
101,,-66.15789600e-3,MISO,2,0x01FF,OK
102,,-66.13850400e-3,MOSI,2,0x087F,OK
103,,-66.13850400e-3,MISO,2,0xFFFF,OK
