"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
1,,45.83210000e-3,MOSI,2,0x0107,Data Error
2,,45.84451600e-3,MOSI,2,0x1226,OK
3,,45.84451600e-3,MISO,2,0xFFFE,OK
4,,45.86401680e-3,MOSI,2,0x020C,OK
5,,45.86401680e-3,MISO,2,0x01FF,OK
6,,45.88351760e-3,MOSI,2,0x9A00,OK
7,,45.88351760e-3,MISO,2,0xFFFF,OK
8,,45.90301840e-3,MOSI,2,0x1AFF,OK
9,,45.90301840e-3,MISO,2,0xFFFF,OK
10,,45.92251920e-3,MOSI,2,0x8800,OK
11,,45.92251920e-3,MISO,2,0xFFFF,OK
12,,45.94202000e-3,MOSI,2,0x0200,OK
13,,45.94202000e-3,MISO,2,0xFE00,OK
14,,45.96152080e-3,MOSI,2,0x9400,OK
15,,45.96152080e-3,MISO,2,0x7FFF,OK
16,,45.98101520e-3,MOSI,2,0x9200,OK
17,,45.98101520e-3,MISO,2,0xF1FF,OK
18,,46.00051600e-3,MOSI,2,0x9800,OK
19,,46.00051600e-3,MISO,2,0xF800,OK
20,,46.02001680e-3,MOSI,2,0x0200,OK
21,,46.02001680e-3,MISO,2,0x01FF,OK
22,,46.03951760e-3,MOSI,2,0x087F,OK
23,,46.03951760e-3,MISO,2,0xFFFF,OK
24,,46.05901840e-3,MOSI,2,0x1480,OK
25,,46.05901840e-3,MISO,2,0x0F80,OK
26,,46.07851920e-3,MOSI,2,0x1A07,OK
27,,46.07851920e-3,MISO,2,0x07FF,OK
28,,46.09802000e-3,MOSI,2,0x1226,OK
29,,46.09802000e-3,MISO,2,0xFFFE,OK
30,,46.11752080e-3,MOSI,2,0x020C,OK
31,,46.11752080e-3,MISO,2,0x01FF,OK
32,,46.13701520e-3,MOSI,2,0x9A00,OK
33,,46.13701520e-3,MISO,2,0xFFFF,OK
34,,46.15651600e-3,MOSI,2,0x1AFF,OK
35,,46.15651600e-3,MISO,2,0xFFFF,OK
36,,46.17601680e-3,MOSI,2,0x8800,OK
37,,46.17601680e-3,MISO,2,0xFFFF,OK
38,,46.19551760e-3,MOSI,2,0x0200,OK
